dimension,task_id,principle_match,rich_sut,lean_sut,rich_score,lean_score,rich_answer,lean_answer,rich_cost,lean_cost,rich_steps,lean_steps,rich_input_tokens,lean_input_tokens,input_gap,setting_proven,more_context_observed,more_trace_work,rich_tool_calls,lean_tool_calls,rich_wf_ops,lean_wf_ops
info,astronomy-hard-10,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52Delta7kSchemaOnly,1.0,0.0,"['Proton_flux_>30_Mev', -0.193]",No response from agent,0.08791,0.483222,5,26,88991,511517,-422526,True,False,False,10,81,9,9
sample,wildfire-easy-3,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,"['California', 'Nevada']","['District of Columbia', 'Indiana', 'Kentucky', 'Minnesota', 'Missouri', 'Montana', 'New Mexico', 'Oregon', 'Utah']",0.501002,0.045709,16,7,473191,64940,408251,True,True,True,15,6,11,5
sample,astronomy-hard-10,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52DeltaStats3kD2,1.0,0.0,"['Proton_flux_>30_Mev', -0.193]",No response from agent,0.139537,0.428911,10,26,186545,533108,-346563,True,False,True,13,66,11,10
info,astronomy-hard-10,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52Latest7kSchemaOnly,1.0,0.0,"['Proton_flux_>30_Mev', -0.193]",No response from agent,0.219804,0.532461,11,26,188575,361684,-173109,True,False,False,15,64,12,27
sample,wildfire-hard-17,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta3kSchemaOnly,1.0,0.023681277040891856,4830.9,203996.6,0.168326,0.056891,17,10,253596,84999,168597,True,True,True,19,10,14,9
info,environment-hard-12,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,Wollaston Beach,Constitution Beach,0.048093,0.204535,8,25,65872,227781,-161909,True,False,False,7,24,7,21
mode,environment-hard-8,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52LatestStats5kD2,1.0,0.0,54.03,51.56,0.31593,0.078135,10,8,235154,74700,160454,True,True,True,31,7,18,6
mode,environment-hard-12,True,DataflowSystemGPT52Delta5kSchemaOnly,DataflowSystemGPT52Latest5kSchemaOnly,1.0,0.0,Wollaston Beach,Carson,0.183447,0.060808,9,8,208438,58005,150433,True,True,True,23,7,19,6
sample,wildfire-hard-17,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta5kSchemaOnly,1.0,0.7614431624739929,4830.9,3317.4,0.168326,0.095028,17,11,253596,117364,136232,True,True,True,19,14,14,12
info,environment-hard-8,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52Delta7kSchemaOnly,1.0,0.0,54.03,50.58,0.124925,0.045748,13,6,189002,53417,135585,True,True,True,12,5,9,5
