dimension,task_id,principle_match,rich_sut,lean_sut,rich_score,lean_score,rich_answer,lean_answer,rich_cost,lean_cost,rich_steps,lean_steps,rich_input_tokens,lean_input_tokens,input_gap,setting_proven,more_context_observed,more_trace_work,rich_tool_calls,lean_tool_calls,rich_wf_ops,lean_wf_ops
info,archeology-hard-7,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,274,294,0.02588,0.019015,6,5,47862,34018,13844,True,True,True,5,4,5,4
info,astronomy-hard-8,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,"[6.1655e-07, 5.1206e-07]","[3.3468e-07, 3.9966e-07]",0.11869,0.138964,10,14,94621,136861,-42240,True,False,False,14,17,7,12
info,biomedical-hard-5,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,2.6563,2.4241,0.037754,0.022502,7,6,59897,38764,21133,True,True,True,8,5,6,5
info,environment-hard-11,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,0.37,0.40,0.023665,0.043882,5,9,33425,58946,-25521,True,False,False,3,7,3,4
info,environment-hard-12,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,Wollaston Beach,Constitution Beach,0.048093,0.204535,8,25,65872,227781,-161909,True,False,False,7,24,7,21
info,environment-hard-13,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,11,12,0.019127,0.024546,5,5,32546,30543,2003,True,True,False,3,3,3,3
info,legal-easy-19,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,0.523,0.199,0.013791,0.013097,4,4,23410,22759,651,True,True,False,2,2,2,2
info,wildfire-hard-12,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.0,No,Yes,0.012693,0.013269,4,5,27319,29752,-2433,True,False,False,2,3,2,3
info,wildfire-hard-17,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,1.0,0.9408889062013088,4830.9,5134.4,0.103662,0.070785,14,13,149325,102298,47027,True,True,True,14,13,11,10
sample,astronomy-easy-6,True,DataflowSystemGPT52LatestStats5kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,"[0.0193, -0.0020]","[0.0138, 0.0007]",0.040381,0.037059,6,3,68011,28282,39729,True,True,True,5,3,5,3
sample,astronomy-hard-10,False,DataflowSystemGPT52LatestStats5kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,"['Proton_flux_>30_Mev', -0.193]",No response from agent,0.140705,0.242185,10,26,139931,299076,-159145,True,False,False,15,43,12,21
sample,astronomy-hard-9,False,DataflowSystemGPT52LatestStats5kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,24,19,0.144603,0.279047,12,17,161488,230662,-69174,True,False,False,12,29,7,11
sample,environment-hard-7,False,DataflowSystemGPT52LatestStats5kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,10.87,0.11,0.022913,0.026755,5,6,39125,46972,-7847,True,False,False,4,5,4,5
sample,wildfire-easy-3,False,DataflowSystemGPT52LatestStats5kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,"['California', 'Nevada']","['District of Columbia', 'Indiana', 'Kentucky', 'Minnesota', 'Missouri', 'Montana', 'New Mexico', 'Oregon', 'Utah']",0.027345,0.045709,5,7,44736,64940,-20204,True,False,False,4,6,4,5
sample,astronomy-easy-4,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,"Average cycle length ≈ 11.25 years; maxima years: 1968, 1979, 1989, 2000, 2014; minima years: 1964, 1976, 1986, 1996, 2008","The average solar cycle period is approximately 11.25 years; maxima years are 1968, 1979, 1989, 2000, and 2014; minima years are 1964, 1976, 1986, 1996, and 2008",0.045644,0.042938,7,7,65084,53349,11735,True,True,False,5,5,5,5
sample,astronomy-easy-6,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,"[0.0193, -0.0020]","[0.0138, 0.0007]",0.037557,0.037059,5,3,59213,28282,30931,True,True,True,4,3,4,3
sample,astronomy-hard-10,False,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,"['Proton_flux_>30_Mev', -0.193]",No response from agent,0.219804,0.242185,11,26,188575,299076,-110501,True,False,False,15,43,12,21
sample,biomedical-hard-7,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,16,15,0.022504,0.015748,8,6,44768,33045,11723,True,True,True,6,4,4,3
sample,environment-hard-7,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats3kD2,1.0,0.0,10.87,0.11,0.030563,0.026755,6,6,56418,46972,9446,True,True,False,5,5,5,5
