configuration,task_id,round,status,dispatched,metric,score,cost_usd,input_tokens,cached_tokens,output_tokens,reasoning_tokens,evaluation_sha256,stats_sha256
Native,archeology-easy-10,first,completed,true,success,1,0.018112,18414,11831,215,9,ab8a1618d44fa030a776da01a7125b3aefd6dcab492bbbf66b103cbb0f952723,6aa0e215f89a0870652670a2487dd08b9e676d1e800610e41265d89fda527dfa
Native,archeology-easy-11,first,completed,true,success,0,0.0097,18567,17388,322,76,a1da92a73f65fc804716958ad2cbeaa7532815855e3ba3d991357c37de9f33e4,376b04083e3007594d50054bffc0e7edd5f0af5405e497b6085eb4fcacf91aa8
Native,archeology-easy-3,first,completed,true,success,0,0.011074,18913,17549,403,114,1eabf1db89146e89dd9b7ded154e6832656fc97f4d5f47a28da511276116338d,443b519cad4b8f858275b63fb7a1f23ba562362ff7df765419a72607220a240c
Native,archeology-easy-4,first,completed,true,success,1,0.01538,26869,24710,510,179,b969485d328cf496638364104b064ce5b513f3de330bf2764aacb40c35195b5a,75e65bde8e48561b01fd196833daacde6adf880969355c92920be9afa015d5c8
Native,archeology-easy-6,first,completed,true,success,1,0.008195,18506,17336,199,8,cb62d5fc3df46a82b3da8dfbf25054b5fdecd2bf0bdb9767b0ed6e987df715c7,99b8906f7b4b6641d6d2fc8c98c4376818b2b0e5e96d64fa3ae077feed875c06
Native,archeology-easy-8,first,completed,true,success,0,0.012686,26207,24418,352,76,c3d8eed380f716714ca2f3d2ad984cc0cb88d71a26b0ed944f364698183c1b23,4ab0f152b978dc283f542e0f3166a5d18471dd4ab45a07888a624f1d4dc30a57
Native,archeology-hard-1,first,completed,true,success,0,0.028225,40054,35744,1038,394,cd9e5c3b569f52ba593e429f8c90a031419bdbd7fc3e164290658b0a4c4d28b8,4132f8e9373cc03df12647c75cbf6211939db1330c4d3b331f983b5fa12a1276
Native,archeology-hard-12,first,completed,true,success,0,0.010755,18981,17655,381,165,5d3fe7aee412a0a7e8e5a31685f2feaa10453ec6cd1f41238256aad6c72a59eb,d3f0df8d9242a86a2dd37f6195c8121a53ae5e2f793e22454856ba6ac15673b0
Native,archeology-hard-2,first,completed,true,success,0,0.021455,29865,26077,722,211,c7b15832da1b8e3288095b4c9700cc0aa4c1da4b73da02affc3ae694e2a8d8d5,ea7028e6fd9bf08f35ee2c36072c3ae33bf9893d0249c714547da65b2d5fdd47
Native,archeology-hard-5,first,completed,true,success,0,0.030166,50520,45448,911,377,df55be72c7bbd1ae038531107f7155e97562219c13c94cb1fe74f06cd0bbb8ce,67a7f60816f944767b46cbce9c9d4d23042233b72b190c0be83a8707fbd44cb2
